id,nombre,carrera_id
340,Auditoría Ambiental,9
341,Financiamiento y Evaluación de Proyectos Urbano - Ambientales,9
342,Negociación y Mediación,9
343,Seminario optativo III,9
344,Seminario optativo IV,9
345,Práctica Preprofesional,9
346,Inglés III,9
347,Informática Módulo 8: Gestión de Proyectos,9
348,Informática Módulo 9: Diseño de objetos en 3D,9
349,Taller de Trabajo Final Integrador,9
350,Introducción a la Teoría del Estado,10
351,Instituciones del Derecho,10
352,Historia argentina y derechos humanos,10
353,Derecho Constitucional y constitucionalismo social,10
354,Configuración histórica de los derechos humanos en América Latina I,10
355,Derechos Humanos y Comunicación,10
356,Educación y TIC en Derechos Humanos,10
357,Derechos Humanos y Soberanía,10
358,Metodología de la investigación social I,10
359,Teoría Política,10
360,Configuración histórica de los derechos humanos en América Latina II,10
361,Derecho Penal,10
362,"Historia política, social y cultural latinoamericana",10
363,Problemas actuales de acceso a la justicia,10
364,"Derechos sociales, económicos y culturales",10
365,Políticas Públicas y políticas en organizaciones sociales,10
366,Psicología Social,10
367,"Estrategias de formación, capacitación y promoción",10
368,Seminario de Pensamiento Nacional y Latinoamericano,10
369,Informática Módulo 2,10
370,Informática Módulo 7,10
371,Informática Módulo 11,10
372,Informática Módulo 12,10
373,Inglés I,10
374,Inglés II,10
375,Inglés III,10
376,Taller de práctica pre profesional I,10
377,Taller de integración,10
378,Sociología del derecho,10
379,Los derechos sociales en las políticas públicas,10
380,Análisis de políticas públicas,10
381,Derechos humanos y derechos sociales en Latinoamérica,10
382,Protección internacional de derechos humanos,10
383,Política Contemporánea Latinoamericana,10
384,Metodología de la investigación social II,10
385,Elementos básicos de los procesos judiciales,10
386,Introducción al Sistema Judicial Argentino,10
387,Formulación y evaluación de proyectos,10
388,Filosofía del Derecho y teoría de la Justicia,10
389,Democracia y Derechos Humanos,10
390,Seminario Optativo I,10
391,Seminario Optativo II,10
392,Seminario Optativo III,10
393,Taller de práctica pre profesional II,10
394,Taller de Trabajo Final Integrador,10
395,Salud Colectiva,11
396,Anatomía y Fisiología,11
397,Seminario de Situaciones Problemáticas y Territorio,11
398,Seminario de Introducción a las Problemáticas Alimentarias,11
399,Nutrición I,11
400,Biofísica y Bioquímica I,11
401,Salud Mental,11
402,Nutrición II,11
403,Física y Química Culinaria (Técnica dietética),11
404,Antropología,11
405,Seminario optativo I,11
406,Evaluación Nutricional,11
407,Biofísica y Bioquímica II,11
408,Nutrición III (Nutrición infanto-juvenil),11
409,Educación Alimentaria Nutricional,11
410,Bromatología y Tecnología de los Alimentos I,11
411,Microbiología y Parasitología,11
412,Ética Profesional,11
413,"Nutrición IV (Nutrición en la adolescencia, adultez y actividad física)",11
414,Promoción Comunitaria,11
415,Economía Regional y Alimentaria,11
416,Bromatología y Tecnología de los Alimentos II,11
417,Nutrición Comunitaria,11
418,Desarrollo Comunitario y Organización Social,11
419,Seminario Optativo II,11
420,Epidemiología I,11
421,Prácticas en Nutrición Comunitaria,11
422,Idioma extranjero Nivel I (Inglés I - Portugués I),11
423,Seminario de Pensamiento Nacional y Latinoamericano,11
424,Seminario de Justicia y Derechos Humanos,11
425,Informática - Módulo III: Planilla de cálculo I,11
426,Informática - Módulo IV: Planilla de cálculo II,11
427,"Núcleo Clínico Integrado: Fisiopatología, Dietoterapia del Adulto y Técnica Dietoterápica",11
428,Metodología de Investigación,11
429,Epidemiología II,11
430,Gestión y Administración de Servicios de Alimentación,11
431,Gestión de las Organizaciones de Salud,11
432,Fisiopatología y Dietoterapia del Niño,11
433,Prácticas en Salud Colectiva,11
434,Taller de Trabajo Final Integrador,11
435,Prácticas en Dietoterapia y Gestión y Administración de Servicios de Alimentación,11
436,Seminario Optativo III,11
437,Seminario Optativo IV,11
438,Idioma extranjero Nivel II (Inglés II - Portugués II),11
439,Informática Módulo específico Antropometría,11
440,Informática Módulo específico Epidemiología,11
441,Historia Moderna y Contemporánea I,13
442,Historia Argentina I,13
443,Lógica y Epistemología de las Ciencias Sociales,13
444,Introducción a las Relaciones Internacionales,13
445,Pensamiento Filosófico,13
446,Inglés I,13
447,Historia Moderna y Contemporánea II,13
448,Historia Argentina II,13
449,Metodología de la Investigación en Ciencias Sociales,13
450,Filosofía Moderna y Contemporánea,13
451,Economía Política I,13
452,Inglés II,13
453,Historia de las Relaciones Internacionales,13
454,Economía Política II,13
455,Sistemática de la Ciencia Política,13
456,Métodos y Técnicas de Investigación Aplicados,13
457,Pensamiento Clásicos de las Relaciones Internacionales,13
458,Inglés III,13
459,Teoría de las Relaciones Internacionales I,13
460,Teoría Política I,13
461,Economía Política Internacional I,13
462,Política Internacional Contemporánea,13
